,City,Lng,Lat,Cloudiness,Country,Date,Humidity,Max Temp,Wind Speed
376,Imbituba,-48.67,-28.24,0,BR,1563652699,60,73.4,16.11
377,Toyooka,134.82,35.55,100,JP,1563652924,91,72.7,6.51
378,Nicoya,-85.45,10.15,20,CR,1563652924,52,93.2,14.99
379,Hofn,-15.21,64.25,100,IS,1563652914,98,40.3,4.52
380,Victoria,115.24,5.28,75,BN,1563652802,88,82.4,8.57
381,High Prairie,-116.48,55.43,48,CA,1563652925,59,72.7,0.67
382,Indramayu,103.78,-4.05,91,ID,1563652925,91,68.2,2.82
383,Takoradi,-1.75,4.89,65,GH,1563652685,92,74.32,4.61
384,Yumen,97.04,40.29,100,CN,1563652926,42,72.7,16.22
385,Deer Lake,-57.43,49.18,90,CA,1563652926,60,68.0,4.7
386,Kastamonu,33.78,41.38,0,TR,1563652742,92,53.8,2.35
387,Shiyan,110.78,32.65,97,CN,1563652780,82,70.0,1.48
388,Moses Lake,-119.28,47.13,1,US,1563652927,22,81.0,5.82
389,Mpika,31.4,-11.84,0,ZM,1563652769,45,55.78,4.65
390,Neuquen,-68.06,-38.95,0,AR,1563652839,47,57.2,4.7
391,Perth,115.86,-31.95,75,AU,1563652724,93,62.01,5.82
392,Biltine,20.93,14.53,100,TD,1563652927,45,88.72,17.81
393,Le Mars,-96.17,42.79,1,US,1563652928,88,72.0,17.22
394,Pau Brasil,-39.65,-15.46,81,BR,1563652928,93,63.34,2.93
395,Kaeo,173.78,-35.1,86,NZ,1563652928,95,42.01,1.99
396,Leningradskiy,178.42,69.38,100,RU,1563652661,88,36.52,10.13
397,Kloulklubed,134.26,7.04,75,PW,1563652929,88,80.6,8.88
398,Novaya Igirma,103.93,57.14,7,RU,1563652929,74,49.3,4.72
399,Kansanshi,26.43,-12.1,0,ZM,1563652930,38,54.7,3.89
400,Alyangula,136.42,-13.85,31,AU,1563652893,100,53.6,6.93
401,Rorvik,11.24,64.86,100,NO,1563652930,91,60.01,20.85
402,Port Lincoln,135.86,-34.72,0,AU,1563652876,67,57.04,24.07
403,Saint-Georges,-70.67,46.12,27,CA,1563652931,55,89.01,1.99
404,Nuuk,-51.74,64.17,40,GL,1563652854,62,59.0,8.05
405,Sivaki,126.75,52.63,100,RU,1563652931,99,66.94,9.24
406,Robertsport,-11.37,6.75,100,LR,1563652931,90,75.76,6.87
407,Beisfjord,17.6,68.38,67,NO,1563652932,82,62.01,12.75
408,Liloy,122.68,8.12,88,PH,1563652932,92,75.22,1.99
409,Agaro,36.59,7.86,99,ET,1563652932,96,57.04,3.27
410,ChengDe,117.93,40.97,35,CN,1563652933,97,65.32,1.7
411,Upington,21.24,-28.46,44,ZA,1563652933,39,50.0,4.7
412,Ballina,-9.15,54.11,75,IE,1563652933,87,60.01,6.93
413,Green River,-109.47,41.53,40,US,1563652933,16,81.0,9.17
414,Sur,59.53,22.57,4,OM,1563652622,81,76.66,14.03
415,Mantua,10.79,45.16,0,IT,1563652792,54,84.2,2.24
416,Aparecida,-45.23,-22.85,0,BR,1563652934,41,75.2,6.93
417,Poum,20.71,41.28,40,MK,1563652825,68,69.8,2.24
418,Mayo,-135.9,63.59,75,CA,1563652934,60,68.0,6.93
419,Bireun,96.7,5.2,100,ID,1563652934,87,68.02,5.37
420,Tessalit,1.01,20.2,100,ML,1563652935,28,89.98,23.96
421,Quepos,-84.16,9.43,20,CR,1563652935,54,86.0,14.99
422,Toppenish,-120.31,46.38,1,US,1563652936,22,80.6,4.7
423,Toora-Khem,96.11,52.47,39,RU,1563652936,96,46.78,2.1
424,Norman Wells,-126.83,65.28,75,CA,1563652812,60,73.4,5.82
425,Tacoronte,-16.41,28.48,40,ES,1563652728,88,75.99,16.11
426,Francisco Sa,-43.49,-16.48,0,BR,1563652937,26,78.8,13.87
427,Zeerust,26.07,-25.54,0,ZA,1563652937,54,50.0,8.05
428,Pampa,-100.96,35.54,1,US,1563652743,25,102.2,23.04
429,Macusani,-70.43,-14.07,0,PE,1563652937,62,39.4,9.6
430,Oktyabrskoye,85.44,56.73,40,RU,1563652937,93,51.8,2.24
431,Krasnyy Yar,44.73,50.7,0,RU,1563652938,71,63.52,6.15
432,Kigonsera,35.08,-10.8,5,TZ,1563652938,72,64.4,3.36
433,Ellisras,27.74,-23.67,0,ZA,1563652938,22,54.88,9.37
434,Tamandare,-70.75,-8.28,80,BR,1563652939,44,89.08,1.01
435,Viline,33.66,44.84,0,UA,1563652939,70,73.42,3.27
436,Kilemary,46.86,56.78,0,RU,1563652940,96,55.06,5.28
437,Excelsior Springs,-94.23,39.34,1,US,1563652940,52,98.01,18.34
438,Chicama,-79.15,-7.84,0,PE,1563652835,72,68.0,10.29
439,Tefe,-64.71,-3.35,20,BR,1563652940,70,84.2,6.93
440,Luderitz,15.16,-26.65,0,NA,1563652801,72,57.22,11.92
441,Caramay,119.24,10.18,97,PH,1563652940,85,76.66,0.25
442,Sokolo,-6.12,14.74,11,ML,1563652941,38,93.22,8.34
443,Isangel,169.27,-19.55,40,VU,1563652824,77,68.0,4.7
444,Comodoro Rivadavia,-67.48,-45.87,0,AR,1563652873,46,50.0,11.41
445,Pochinki,44.85,54.7,61,RU,1563652941,97,57.4,7.2
446,Saint-Leu,55.28,-21.15,0,RE,1563652942,72,69.8,4.7
447,Abu Samrah,37.18,35.3,0,SY,1563652942,74,70.36,12.97
448,Goedereede,3.98,51.82,0,NL,1563652942,82,68.0,29.97
449,Znamenskoye,73.82,57.13,0,RU,1563652943,93,63.52,2.8
450,Coihaique,-72.07,-45.58,75,CL,1563652618,80,39.2,4.7
451,Grenada,-89.81,33.77,40,US,1563652943,66,91.99,6.08
452,Santa Rosa,-64.29,-36.62,100,AR,1563652943,59,58.66,10.76
453,Moree,149.84,-29.46,0,AU,1563652944,66,52.0,13.87
454,Klaeng,101.65,12.78,100,TH,1563652944,73,86.0,4.99
455,Guiyang,106.71,26.58,40,CN,1563652944,94,71.6,2.24
456,Kahramanmaras,36.93,37.58,0,TR,1563652945,65,80.6,25.28
457,Saint-Denis,2.36,48.94,0,FR,1563652945,64,73.99,4.7
458,Srednekolymsk,153.71,67.46,100,RU,1563652945,52,51.64,11.45
459,Manicore,-61.3,-5.81,65,BR,1563652946,57,85.12,4.25
460,Broceni,22.53,56.7,46,LV,1563652946,71,56.68,4.32
461,Mahibadhoo,72.97,3.78,82,MV,1563652433,79,83.32,17.83
462,Dire Dawa,41.86,9.59,87,ET,1563652946,65,69.1,16.84
463,Forio,13.86,40.73,0,IT,1563652947,69,78.8,6.93
464,Juba,26.93,57.82,0,EE,1563652947,72,66.2,3.36
465,Nunoa,-70.64,-14.48,0,PE,1563652947,32,45.7,15.5
466,Kasulu,30.11,-4.57,0,TZ,1563652948,78,73.4,3.78
467,Smithers,-127.17,54.78,90,CA,1563652948,72,59.0,3.36
468,Rancho Palos Verdes,-118.37,33.75,1,US,1563652948,47,84.0,10.29
469,Rabo de Peixe,-25.58,37.8,40,PT,1563652949,88,73.4,5.82
470,Zhigansk,123.37,66.77,26,RU,1563652949,52,60.28,9.48
471,Parnamirim,-35.27,-5.92,75,BR,1563652949,65,80.6,13.87
472,Ramsar,50.64,36.92,0,IR,1563652950,78,77.0,6.15
473,Tandalti,31.87,13.01,67,SD,1563652950,66,81.34,19.08
474,Misratah,15.09,32.38,0,LY,1563652950,71,77.92,13.82
475,Black River,-77.85,18.03,20,JM,1563652950,63,91.4,24.16
476,Port Hardy,-127.42,50.7,75,CA,1563652590,87,57.2,6.93
477,Pacific Grove,-121.92,36.62,1,US,1563652758,60,80.01,12.75
478,Russell,-98.86,38.9,1,US,1563652721,27,107.01,19.46
479,Moron,-74.26,18.56,80,HT,1563652932,71,83.68,2.64
480,LaBelle,-81.44,26.76,20,US,1563652951,88,78.8,6.93
481,Bogoroditsk,38.13,53.77,0,RU,1563652951,91,57.22,9.35
482,Hami,93.51,42.84,100,CN,1563652825,39,77.38,5.64
483,Bakchar,82.07,57.02,30,RU,1563652952,64,51.46,4.5
484,Ca Mau,105.15,9.18,100,VN,1563652879,92,77.38,2.26
485,Bowen,148.25,-20.01,90,AU,1563652952,93,64.0,5.82
486,Hearst,-83.67,49.69,62,CA,1563652952,60,71.26,8.37
487,Makakilo City,-158.09,21.35,75,US,1563652953,73,86.0,4.7
488,Stepnoye,46.84,51.38,0,RU,1563652953,43,73.4,6.71
489,Ailigandi,-78.02,9.23,96,PA,1563652953,81,83.5,8.5
490,Fort-Shevchenko,50.26,44.51,0,KZ,1563652954,60,80.26,9.35
491,Griffith,146.06,-34.29,0,AU,1563652954,75,51.01,10.29
492,Komarikhinskiy,57.12,58.1,0,RU,1563652954,88,64.4,4.47
493,Bilma,12.92,18.69,100,NE,1563652821,31,93.94,11.56
494,Riyadh,46.72,24.63,0,SA,1563652830,15,93.2,6.93
495,Along,94.8,28.17,100,IN,1563652955,95,61.0,1.39
496,Hamilton,-79.87,43.26,75,CA,1563652606,66,95.0,17.22
497,Annau,58.52,37.89,0,TM,1563652956,44,95.0,13.87
498,Inirida,-67.92,3.87,75,CO,1563652956,91,80.26,3.6
499,La Rioja,-66.86,-29.41,91,AR,1563652956,43,62.08,4.12
500,Kiunga,141.3,-6.12,61,PG,1563652883,99,67.3,2.26
501,Padang,100.36,-0.92,100,ID,1563652589,77,81.16,4.05
502,Maxixe,35.35,-23.86,40,MZ,1563652957,73,69.8,9.17
503,Bukama,25.85,-9.2,0,CD,1563652957,33,64.78,2.21
504,Russkaya Polyana,73.88,53.78,0,RU,1563652957,83,65.86,2.82
505,Bonavista,-53.11,48.65,0,CA,1563652958,81,54.0,4.0
506,Fenelon Falls,-78.74,44.54,20,CA,1563652958,46,93.2,18.34
507,Siderno,16.3,38.28,5,IT,1563652958,69,78.8,5.82
508,Vanimo,141.3,-2.67,19,PG,1563652896,80,80.98,6.22
509,Hervey Bay,152.85,-25.3,5,AU,1563652958,87,52.0,6.93
510,Mabaruma,-59.78,8.2,100,GY,1563652651,95,78.1,3.65
511,Husavik,-96.99,50.56,31,CA,1563652713,83,66.0,5.99
512,Mount Isa,139.49,-20.73,33,AU,1563652840,59,35.6,7.2
513,Tarakan,117.63,3.3,55,ID,1563652603,86,77.74,4.34
514,Eyl,49.82,7.98,100,SO,1563652571,65,77.56,25.86
515,Ocampo,-102.4,27.32,0,MX,1563652959,30,86.56,10.98
516,Thinadhoo,72.93,0.53,98,MV,1563652960,76,83.14,12.71
517,Qaqortoq,-46.03,60.72,40,GL,1563652681,59,60.8,8.05
518,Walvis Bay,14.51,-22.95,0,NA,1563652960,37,71.6,4.7
519,Magadan,150.8,59.56,81,RU,1563652960,92,49.66,1.48
520,Romitan,64.38,39.93,0,UZ,1563652960,22,91.4,11.41
521,Mackay,-115.58,53.65,20,CA,1563652961,77,64.4,3.36
522,Winton,143.04,-22.38,0,AU,1563652961,52,52.36,10.09
523,Senanga,23.3,-16.1,0,ZM,1563652962,22,58.12,5.99
524,Yarega,53.58,63.43,97,RU,1563652962,80,56.14,4.18
525,Emba,32.42,34.81,20,CY,1563652962,88,78.8,9.17
526,Argir,-6.77,62.0,100,FO,1563652962,93,53.6,8.05
527,North Bend,-124.22,43.41,1,US,1563652963,63,77.0,16.11
528,Vesele,34.92,47.02,0,UA,1563652963,44,70.72,4.56
529,Lagoa,-8.45,37.14,0,PT,1563652628,65,78.8,3.36
530,Metu,35.58,8.3,93,ET,1563652963,96,60.1,0.81
531,Salinas,-121.66,36.67,1,US,1563652815,60,80.01,12.75
532,Chernyshevskiy,112.47,63.01,0,RU,1563652964,73,49.3,4.5
533,Sorong,131.25,-0.86,51,ID,1563652964,95,74.5,6.6
534,Inuvik,-133.71,68.36,20,CA,1563652700,82,62.6,4.7
535,Catia La Mar,-67.03,10.6,20,VE,1563652965,52,89.6,6.93
536,Huilong,106.5,31.15,100,CN,1563652965,91,75.22,0.65
537,New Bern,-77.04,35.11,20,US,1563652839,44,99.0,6.93
538,Angoche,39.91,-16.23,0,MZ,1563652965,92,65.5,3.8
539,Constitucion,-104.67,23.99,40,MX,1563652754,40,75.0,5.82
